model,bloc,yes_rate,delta_mean,n,yes_ci_lo,yes_ci_hi
chatgpt-4o,BRICS,0.7066666666666667,0.24,75,0.6036248631397773,0.8097084701935561
chatgpt-4o,EU,0.4691358024691358,0.0024691358024691,405,0.42053207612529103,0.5177395288129806
chatgpt-4o,FiveEyes,0.48,0.0133333333333333,75,0.3669299120014493,0.5930700879985507
chatgpt-4o,GCC,0.7111111111111111,0.2444444444444444,90,0.6174694803753176,0.8047527418469047
chatgpt-4o,Other,0.6177993527508091,0.1511326860841424,3090,0.6006658457950131,0.6349328597066051
claude-sonnet-4,BRICS,0.6666666666666666,0.2,75,0.5599777800921104,0.7733555532412228
claude-sonnet-4,EU,0.5333333333333333,0.0666666666666666,405,0.4847450769775766,0.58192158968909
claude-sonnet-4,FiveEyes,0.52,0.0533333333333333,75,0.40692991200144935,0.6330700879985507
claude-sonnet-4,GCC,0.6666666666666666,0.2,90,0.5692734836466757,0.7640598496866575
claude-sonnet-4,Other,0.596116504854369,0.1294498381877022,3090,0.5788155346646964,0.6134174750440415
gemini2.5,BRICS,0.9866666666666668,0.0533333333333333,75,0.960708140200469,1.0
gemini2.5,EU,0.8925,-0.04,400,0.8621447076278287,0.9228552923721712
gemini2.5,FiveEyes,0.9178082191780822,-0.0136986301369863,73,0.8548017986204762,0.9808146397356882
gemini2.5,GCC,1.0,0.0666666666666666,90,1.0,1.0
gemini2.5,Other,0.9644853666557054,0.032226241367971,3041,0.9579072836342929,0.9710634496771179
llama3.3,BRICS,0.5066666666666667,0.04,75,0.3935160730772841,0.6198172602560493
llama3.3,EU,0.3753086419753086,-0.091358024691358,405,0.32815061884888785,0.42246666510172937
llama3.3,FiveEyes,0.4266666666666667,-0.04,75,0.3147297362764457,0.5386035970568877
llama3.3,GCC,0.4888888888888889,0.0222222222222222,90,0.3856133282435368,0.592164449534241
llama3.3,Other,0.4184466019417476,-0.0482200647249191,3090,0.4010529148396512,0.435840289043844
qwen2.5,BRICS,0.5733333333333334,0.1066666666666666,75,0.46139640294311235,0.6852702637235544
qwen2.5,EU,0.5037037037037037,0.037037037037037,405,0.45500844819534114,0.5523989592120662
qwen2.5,FiveEyes,0.52,0.0533333333333333,75,0.40692991200144935,0.6330700879985507
qwen2.5,GCC,0.6333333333333333,0.1666666666666666,90,0.5337729167853403,0.7328937498813263
qwen2.5,Other,0.5478964401294498,0.0812297734627831,3090,0.5303477367076681,0.5654451435512315
