term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,4.752142713548066,0.25164862242653513,18.884040245185048,1.5431735670864754e-79,4.258920476832938,5.245364950263194
C(bloc)[T.EU],-1.9005103691582748,0.2203182361165629,-8.626205450159738,6.342104861589281e-18,-2.3323261770841297,-1.4686945612324198
C(bloc)[T.FiveEyes],-1.6371616867422227,0.2809190868600701,-5.82787629363795,5.613716553348737e-09,-2.1877529795578394,-1.086570393926606
C(bloc)[T.GCC],0.18554262503629007,0.2748257415465973,0.6751282612470672,0.499594279692648,-0.35310593041955385,0.7241911804921339
C(bloc)[T.Other],-0.8588098261339953,0.2044728787995191,-4.200116079825131,2.6677817165071136e-05,-1.2595693043962761,-0.4580503478717143
C(project_id)[T.2],-3.8180141463693564,0.1531405435309699,-24.931439175656525,3.3950031409210205e-137,-4.118164096262946,-3.517864196475767
C(project_id)[T.6],19.233676163405093,1592.1672747579871,0.012080185586234119,0.9903616408520588,-3101.3568397255385,3139.8241920523487
C(project_id)[T.7],-1.9911882393752687,0.15156361092416468,-13.13764054072033,2.0037774918875643e-39,-2.288247458153473,-1.6941290205970645
C(project_id)[T.8],16.434174060293824,392.7209276096219,0.04184695264477975,0.9666207049747538,-753.2847000297269,786.1530481503145
C(project_id)[T.10],-3.8850736606526435,0.1534837039604631,-25.312613394145256,2.320194071585384e-141,-4.185896192628959,-3.5842511286763283
C(project_id)[T.12],-8.251781286263386,0.23849072216010345,-34.60000964198433,2.525608100969289e-262,-8.719214512344138,-7.7843480601826345
C(project_id)[T.14],-6.8027339324682305,0.20902351984647136,-32.54530369340669,2.4399535491802848e-232,-7.212412503289108,-6.393055361647353
C(project_id)[T.18],16.574822989721458,421.3323527698792,0.0393390701681392,0.9686200572219869,-809.2214139607667,842.3710599402096
C(project_id)[T.23],-8.09410777352831,0.23762138793633203,-34.06304391967037,2.6019695745142464e-254,-8.55983713583994,-7.628378411216678
C(project_id)[T.24],21.261978788398828,4389.63037785408,0.004843683171063024,0.9961353150921279,-8582.255467248546,8624.779424825345
C(project_id)[T.25],-3.606615638848406,0.15221477749713216,-23.694254251472774,4.132621650047163e-124,-3.9049511206575627,-3.308280157039249
C(project_id)[T.26],-3.365547366915644,0.1514084214247148,-22.228270628850744,1.830515314807476e-109,-3.662302419864148,-3.06879231396714
C(project_id)[T.27],-6.7630989011930085,0.20780625522940513,-32.54521329844941,2.44714906841217e-232,-7.170391677204781,-6.355806125181236
C(project_id)[T.34],-0.8092669307648108,0.16221586119995515,-4.9888273857959495,6.074689488957881e-07,-1.1272041764378713,-0.49132968509175035
C(model)[T.claude-sonnet-4],-0.141840698250089,0.07943352818063472,-1.7856527526706116,0.07415549981114841,-0.2975275526490805,0.0138461561489025
C(model)[T.gemini2.5],5.5701634980572585,0.16602184352433302,33.55078693148511,8.768169224854841e-247,5.244766664102621,5.895560332011896
C(model)[T.llama3.3],-2.355195485195139,0.09271814430130233,-25.401667634131645,2.4171130850981115e-142,-2.536919708739079,-2.1734712616511986
C(model)[T.qwen2.5],-0.6771226872090204,0.0799393103070207,-8.47045945991295,2.4442697564180004e-17,-0.8338008563597524,-0.5204445180582883
