model,region,yes_rate,delta_mean,n,yes_ci_lo,yes_ci_hi
chatgpt-4o,Africa,0.6060606060606061,0.1393939393939394,165,0.5315038792519235,0.6806173328692886
chatgpt-4o,Asia,0.7033333333333334,0.2366666666666666,300,0.6516428705694856,0.7550237960971812
chatgpt-4o,Europe,0.469047619047619,0.0023809523809523,420,0.4213202295977056,0.5167750084975323
chatgpt-4o,North America,0.5111111111111111,0.0444444444444444,45,0.3650574125847691,0.657164809637453
chatgpt-4o,Oceania,0.5333333333333333,0.0666666666666666,60,0.40709734034430534,0.6595693263223613
chatgpt-4o,Other,0.6184313725490196,0.1517647058823529,2550,0.599576740239428,0.6372860048586112
chatgpt-4o,South America,0.5743589743589743,0.1076923076923077,195,0.5049601342722863,0.6437578144456624
claude-sonnet-4,Africa,0.5696969696969697,0.103030303030303,165,0.4941489201982248,0.6452450191957146
claude-sonnet-4,Asia,0.63,0.1633333333333333,300,0.5753655493301159,0.6846344506698842
claude-sonnet-4,Europe,0.530952380952381,0.0642857142857142,420,0.48322499150246756,0.5786797704022943
claude-sonnet-4,North America,0.5555555555555556,0.0888888888888888,45,0.4103703703703704,0.7007407407407408
claude-sonnet-4,Oceania,0.5166666666666667,0.05,60,0.3902195177012532,0.6431138156320803
claude-sonnet-4,Other,0.6015686274509804,0.1349019607843137,2550,0.5825663640197898,0.620570890882171
claude-sonnet-4,South America,0.5692307692307692,0.1025641025641025,195,0.49972749140239714,0.6387340470591413
gemini2.5,Africa,0.9754601226993864,0.0429447852760736,163,0.951707956548268,0.9992122888505048
gemini2.5,Asia,0.9931740614334472,0.0614334470989761,293,0.9837461361265682,1.0
gemini2.5,Europe,0.891566265060241,-0.0409638554216867,415,0.86165112467657,0.9214814054439119
gemini2.5,North America,0.9302325581395348,0.0,43,0.8540870987727565,1.0
gemini2.5,Oceania,0.9666666666666668,0.0333333333333333,60,0.9212455099059514,1.0
gemini2.5,Other,0.9617986470354158,0.0294468762435336,2513,0.9543041709143063,0.9692931231565254
gemini2.5,South America,0.96875,0.0364583333333333,192,0.9441385996203826,0.9933614003796174
llama3.3,Africa,0.4363636363636363,-0.0303030303030303,165,0.3606911719973907,0.5120361007298818
llama3.3,Asia,0.4833333333333333,0.0166666666666666,300,0.4267844492037919,0.5398822174628747
llama3.3,Europe,0.3761904761904762,-0.0904761904761904,420,0.32986058023484877,0.4225203721461036
llama3.3,North America,0.4666666666666667,0.0,45,0.32090189759939663,0.6124314357339367
llama3.3,Oceania,0.4,-0.0666666666666666,60,0.2760387157213996,0.5239612842786004
llama3.3,Other,0.4156862745098039,-0.0509803921568627,2550,0.3965572921113806,0.4348152569082272
llama3.3,South America,0.4051282051282051,-0.0615384615384615,195,0.3362238465040863,0.47403256375232383
qwen2.5,Africa,0.5333333333333333,0.0666666666666666,165,0.4572101653728714,0.6094565012937952
qwen2.5,Asia,0.6166666666666667,0.15,300,0.5616481378012153,0.6716851955321181
qwen2.5,Europe,0.5023809523809524,0.0357142857142857,420,0.454562390976255,0.5501995137856498
qwen2.5,North America,0.5555555555555556,0.0888888888888888,45,0.4103703703703704,0.7007407407407408
qwen2.5,Oceania,0.5333333333333333,0.0666666666666666,60,0.40709734034430534,0.6595693263223613
qwen2.5,Other,0.5447058823529412,0.0780392156862745,2550,0.525376720019637,0.5640350446862453
qwen2.5,South America,0.5435897435897435,0.0769230769230769,195,0.47367768500515467,0.6135018021743324
