model,iso3,country_name,n,flips,flip_rate
chatgpt-4o,HMD,Heard Island and McDonald Islands,15,3,0.2
chatgpt-4o,IND,India,14,2,0.14285714285714285
chatgpt-4o,JAM,Jamaica,14,2,0.14285714285714285
chatgpt-4o,PRY,Paraguay,14,2,0.14285714285714285
chatgpt-4o,DJI,Djibouti,15,2,0.13333333333333333
chatgpt-4o,ARM,Armenia,14,1,0.07142857142857142
chatgpt-4o,SLE,Sierra Leone,14,1,0.07142857142857142
chatgpt-4o,VGB,"Virgin Islands, British",14,1,0.07142857142857142
chatgpt-4o,---,(none),15,0,0.0
chatgpt-4o,AND,Andorra,15,0,0.0
chatgpt-4o,MAR,Morocco,15,0,0.0
chatgpt-4o,PRI,Puerto Rico,14,0,0.0
chatgpt-4o,SHN,"Saint Helena, Ascension and Tristan da Cunha",14,0,0.0
chatgpt-4o,SMR,San Marino,14,0,0.0
chatgpt-4o,TCA,Turks and Caicos Islands,14,0,0.0
claude-sonnet-4,VGB,"Virgin Islands, British",14,1,0.07142857142857142
claude-sonnet-4,AND,Andorra,15,1,0.06666666666666667
claude-sonnet-4,DJI,Djibouti,15,1,0.06666666666666667
claude-sonnet-4,HMD,Heard Island and McDonald Islands,15,1,0.06666666666666667
claude-sonnet-4,---,(none),15,0,0.0
claude-sonnet-4,ARM,Armenia,14,0,0.0
claude-sonnet-4,IND,India,14,0,0.0
claude-sonnet-4,JAM,Jamaica,14,0,0.0
claude-sonnet-4,MAR,Morocco,15,0,0.0
claude-sonnet-4,PRI,Puerto Rico,14,0,0.0
claude-sonnet-4,PRY,Paraguay,14,0,0.0
claude-sonnet-4,SHN,"Saint Helena, Ascension and Tristan da Cunha",14,0,0.0
claude-sonnet-4,SLE,Sierra Leone,14,0,0.0
claude-sonnet-4,SMR,San Marino,14,0,0.0
claude-sonnet-4,TCA,Turks and Caicos Islands,14,0,0.0
gemini2.5,---,(none),15,2,0.13333333333333333
gemini2.5,ARM,Armenia,14,1,0.07142857142857142
gemini2.5,IND,India,14,1,0.07142857142857142
gemini2.5,JAM,Jamaica,14,1,0.07142857142857142
gemini2.5,SLE,Sierra Leone,14,1,0.07142857142857142
gemini2.5,TCA,Turks and Caicos Islands,14,1,0.07142857142857142
gemini2.5,VGB,"Virgin Islands, British",14,1,0.07142857142857142
gemini2.5,AND,Andorra,15,1,0.06666666666666667
gemini2.5,HMD,Heard Island and McDonald Islands,15,1,0.06666666666666667
gemini2.5,DJI,Djibouti,15,0,0.0
gemini2.5,MAR,Morocco,15,0,0.0
gemini2.5,PRI,Puerto Rico,14,0,0.0
gemini2.5,PRY,Paraguay,14,0,0.0
gemini2.5,SHN,"Saint Helena, Ascension and Tristan da Cunha",14,0,0.0
gemini2.5,SMR,San Marino,14,0,0.0
llama3.3,MAR,Morocco,15,3,0.2
llama3.3,IND,India,14,1,0.07142857142857142
llama3.3,SLE,Sierra Leone,14,1,0.07142857142857142
llama3.3,SMR,San Marino,14,1,0.07142857142857142
llama3.3,TCA,Turks and Caicos Islands,14,1,0.07142857142857142
llama3.3,AND,Andorra,15,1,0.06666666666666667
llama3.3,DJI,Djibouti,15,1,0.06666666666666667
llama3.3,---,(none),15,0,0.0
llama3.3,ARM,Armenia,14,0,0.0
llama3.3,HMD,Heard Island and McDonald Islands,15,0,0.0
llama3.3,JAM,Jamaica,14,0,0.0
llama3.3,PRI,Puerto Rico,14,0,0.0
llama3.3,PRY,Paraguay,14,0,0.0
llama3.3,SHN,"Saint Helena, Ascension and Tristan da Cunha",14,0,0.0
llama3.3,VGB,"Virgin Islands, British",14,0,0.0
qwen2.5,PRI,Puerto Rico,14,4,0.2857142857142857
qwen2.5,---,(none),15,4,0.26666666666666666
qwen2.5,SHN,"Saint Helena, Ascension and Tristan da Cunha",14,3,0.21428571428571427
qwen2.5,SMR,San Marino,14,3,0.21428571428571427
qwen2.5,TCA,Turks and Caicos Islands,14,3,0.21428571428571427
qwen2.5,HMD,Heard Island and McDonald Islands,15,3,0.2
qwen2.5,MAR,Morocco,15,3,0.2
qwen2.5,IND,India,14,2,0.14285714285714285
qwen2.5,SLE,Sierra Leone,14,2,0.14285714285714285
qwen2.5,VGB,"Virgin Islands, British",14,2,0.14285714285714285
qwen2.5,AND,Andorra,15,2,0.13333333333333333
qwen2.5,ARM,Armenia,14,1,0.07142857142857142
qwen2.5,DJI,Djibouti,15,1,0.06666666666666667
qwen2.5,JAM,Jamaica,14,0,0.0
qwen2.5,PRY,Paraguay,14,0,0.0
