model,bloc,b0p1,b1p0,n_discordant,p_raw,p_adj
chatgpt-4o,BRICS,18,0,18,7.62939453125e-06,1.2715657552083334e-05
chatgpt-4o,EU,1,0,1,1.0,1.0
chatgpt-4o,FiveEyes,1,0,1,1.0,1.0
chatgpt-4o,GCC,22,0,22,4.76837158203125e-07,1.1920928955078125e-06
chatgpt-4o,Other,467,0,467,5.248340709036788e-141,2.624170354518394e-140
claude-sonnet-4,BRICS,15,0,15,6.103515625e-05,7.62939453125e-05
claude-sonnet-4,EU,27,0,27,1.4901161193847656e-08,3.725290298461914e-08
claude-sonnet-4,FiveEyes,4,0,4,0.125,0.125
claude-sonnet-4,GCC,18,0,18,7.62939453125e-06,1.2715657552083334e-05
claude-sonnet-4,Other,400,0,400,7.745183829698637e-121,3.872591914849318e-120
gemini2.5,BRICS,4,0,4,0.125,0.15625
gemini2.5,EU,6,22,28,0.0037191659212112427,0.009297914803028107
gemini2.5,FiveEyes,2,3,5,1.0,1.0
gemini2.5,GCC,6,0,6,0.03125,0.052083333333333336
gemini2.5,Other,155,57,212,1.1590525688028608e-11,5.795262844014304e-11
llama3.3,BRICS,3,0,3,0.25,0.4166666666666667
llama3.3,EU,0,37,37,1.4551915228366852e-11,3.637978807091713e-11
llama3.3,FiveEyes,1,4,5,0.375,0.46875
llama3.3,GCC,2,0,2,0.5,0.5
llama3.3,Other,47,196,243,8.133762764462149e-23,4.066881382231074e-22
qwen2.5,BRICS,11,3,14,0.057373046875,0.07171630859375
qwen2.5,EU,29,14,43,0.03153949735315109,0.05256582892191849
qwen2.5,FiveEyes,7,3,10,0.34375,0.34375
qwen2.5,GCC,19,4,23,0.002599477767944336,0.00649869441986084
qwen2.5,Other,372,121,493,9.939212487471558e-31,4.9696062437357785e-30
