model,region,yes_rate,delta_mean,n
chatgpt-4o,Africa,0.6060606060606061,0.1393939393939394,165
chatgpt-4o,Asia,0.7033333333333334,0.23666666666666666,300
chatgpt-4o,Europe,0.46904761904761905,0.002380952380952381,420
chatgpt-4o,North America,0.5111111111111111,0.044444444444444446,45
chatgpt-4o,Oceania,0.5333333333333333,0.06666666666666667,60
chatgpt-4o,Other,0.6184313725490196,0.15176470588235294,2550
chatgpt-4o,South America,0.5743589743589743,0.1076923076923077,195
claude-sonnet-4,Africa,0.5696969696969697,0.10303030303030303,165
claude-sonnet-4,Asia,0.63,0.16333333333333333,300
claude-sonnet-4,Europe,0.530952380952381,0.06428571428571428,420
claude-sonnet-4,North America,0.5555555555555556,0.08888888888888889,45
claude-sonnet-4,Oceania,0.5166666666666667,0.05,60
claude-sonnet-4,Other,0.6015686274509804,0.1349019607843137,2550
claude-sonnet-4,South America,0.5692307692307692,0.10256410256410256,195
gemini2.5,Africa,0.9754601226993865,0.04294478527607362,163
gemini2.5,Asia,0.9931740614334471,0.06143344709897611,293
gemini2.5,Europe,0.891566265060241,-0.04096385542168675,415
gemini2.5,North America,0.9302325581395349,0.0,43
gemini2.5,Oceania,0.9666666666666667,0.03333333333333333,60
gemini2.5,Other,0.9617986470354158,0.029446876243533624,2513
gemini2.5,South America,0.96875,0.036458333333333336,192
llama3.3,Africa,0.43636363636363634,-0.030303030303030304,165
llama3.3,Asia,0.48333333333333334,0.016666666666666666,300
llama3.3,Europe,0.3761904761904762,-0.09047619047619047,420
llama3.3,North America,0.4666666666666667,0.0,45
llama3.3,Oceania,0.4,-0.06666666666666667,60
llama3.3,Other,0.41568627450980394,-0.050980392156862744,2550
llama3.3,South America,0.40512820512820513,-0.06153846153846154,195
qwen2.5,Africa,0.5333333333333333,0.06666666666666667,165
qwen2.5,Asia,0.6166666666666667,0.15,300
qwen2.5,Europe,0.5023809523809524,0.03571428571428571,420
qwen2.5,North America,0.5555555555555556,0.08888888888888889,45
qwen2.5,Oceania,0.5333333333333333,0.06666666666666667,60
qwen2.5,Other,0.5447058823529412,0.0780392156862745,2550
qwen2.5,South America,0.5435897435897435,0.07692307692307693,195
