model_key,bloc,n,flips,flip_rate,ci_low,ci_high
chatgpt-4o,BRICS,20,20,1.000000,0.838870,1.000000
chatgpt-4o,EU,105,103,0.980952,0.933193,0.994761
chatgpt-4o,FiveEyes,19,18,0.947368,0.753608,0.990648
chatgpt-4o,GCC,26,26,1.000000,0.871267,1.000000
chatgpt-4o,Other,765,750,0.980392,0.967902,0.988082
claude-sonnet-4,BRICS,20,20,1.000000,0.838870,1.000000
claude-sonnet-4,EU,105,101,0.961905,0.906116,0.985088
claude-sonnet-4,FiveEyes,19,18,0.947368,0.753608,0.990648
claude-sonnet-4,GCC,26,26,1.000000,0.871267,1.000000
claude-sonnet-4,Other,765,754,0.985621,0.974437,0.991952
gemini2.5,BRICS,20,20,1.000000,0.838870,1.000000
gemini2.5,EU,105,101,0.961905,0.906116,0.985088
gemini2.5,FiveEyes,19,18,0.947368,0.753608,0.990648
gemini2.5,GCC,26,22,0.846154,0.664684,0.938501
gemini2.5,Other,765,715,0.934641,0.914863,0.950074
llama3.3,BRICS,20,20,1.000000,0.838870,1.000000
llama3.3,EU,105,101,0.961905,0.906116,0.985088
llama3.3,FiveEyes,19,18,0.947368,0.753608,0.990648
llama3.3,GCC,26,22,0.846154,0.664684,0.938501
llama3.3,Other,765,719,0.939869,0.920724,0.954619
qwen2.5,BRICS,20,20,1.000000,0.838870,1.000000
qwen2.5,EU,105,101,0.961905,0.906116,0.985088
qwen2.5,FiveEyes,19,18,0.947368,0.753608,0.990648
qwen2.5,GCC,26,26,1.000000,0.871267,1.000000
qwen2.5,Other,765,745,0.973856,0.959964,0.983013
