model_key,bloc,n,yes,yes_rate,ci_low,ci_high
chatgpt-4o,BRICS,5,2,0.4,0.1176182311592533,0.769280067791163
chatgpt-4o,EU,27,0,0.0,6.938893903907228e-18,0.12455903714463581
chatgpt-4o,FiveEyes,5,0,0.0,-2.7755575615628914e-17,0.43449149475208104
chatgpt-4o,GCC,6,1,0.16666666666666666,0.03005258587173032,0.563509436563646
chatgpt-4o,Other,206,26,0.1262135922330097,0.08760541587904894,0.17850769038777328
claude-sonnet-4,BRICS,5,1,0.2,0.03622316096978745,0.6244717358814613
claude-sonnet-4,EU,27,0,0.0,6.938893903907228e-18,0.12455903714463581
claude-sonnet-4,FiveEyes,5,0,0.0,-2.7755575615628914e-17,0.43449149475208104
claude-sonnet-4,GCC,6,0,0.0,0.0,0.3903430336530645
claude-sonnet-4,Other,206,14,0.06796116504854369,0.04091090327387836,0.11083021955400704
gemini2.5,BRICS,5,2,0.4,0.1176182311592533,0.769280067791163
gemini2.5,EU,27,0,0.0,6.938893903907228e-18,0.12455903714463581
gemini2.5,FiveEyes,5,1,0.2,0.03622316096978745,0.6244717358814613
gemini2.5,GCC,5,0,0.0,-2.7755575615628914e-17,0.43449149475208104
gemini2.5,Other,206,49,0.23786407766990292,0.18485442327234958,0.3004716512524348
llama3.3,BRICS,5,2,0.4,0.1176182311592533,0.769280067791163
llama3.3,EU,27,0,0.0,6.938893903907228e-18,0.12455903714463581
llama3.3,FiveEyes,5,0,0.0,-2.7755575615628914e-17,0.43449149475208104
llama3.3,GCC,6,1,0.16666666666666666,0.03005258587173032,0.563509436563646
llama3.3,Other,206,18,0.08737864077669903,0.05598465305309738,0.13388046425443365
qwen2.5,BRICS,5,1,0.2,0.03622316096978745,0.6244717358814613
qwen2.5,EU,27,0,0.0,6.938893903907228e-18,0.12455903714463581
qwen2.5,FiveEyes,5,0,0.0,-2.7755575615628914e-17,0.43449149475208104
qwen2.5,GCC,6,0,0.0,0.0,0.3903430336530645
qwen2.5,Other,206,5,0.024271844660194174,0.010410876514298843,0.055551258734383976
